lat,lng,pop,uap,uap_c,nuc,mag,coastal,uso,layers,nat_rad_dist_km,anc,mag_gradient,uap_corrected,uso_corrected,has_incident_binary,is_high_mag,is_high_nuc
-84.5,-128.5,4.0335638806172037e-11,0.0,4.0335638806172044e-10,0.0,0.0,0.0003598632996191,0.0,0,4565.322055669278,0.0,0.0,0.0,0.0,0,0,0
-84.5,-127.5,5.7193304687430897e-11,0.0,5.71933046874309e-10,0.0,0.0,0.0003618460305964,0.0,0,4556.020469243035,0.0,0.0,0.0,0.0,0,0,0
-84.5,-126.5,8.093936149003532e-11,0.0,8.093936149003531e-10,0.0,0.0,0.0003636369306429,0.0,0,4546.815785824524,0.0,0.0,0.0,0.0,0,0,0
-84.5,-125.5,1.1426773055604064e-10,0.0,1.1426773055604063e-09,0.0,0.0,0.0003652326683924,0.0,0,4537.71128249903,0.0,0.0,0.0,0.0,0,0,0
-84.5,-124.5,1.608662244364936e-10,0.0,1.6086622443649359e-09,0.0,0.0,0.0003666302617102,0.0,0,4528.7102187148375,0.0,0.0,0.0,0.0,0,0,0
-84.5,-123.5,2.2575816875693616e-10,0.0,2.257581687569362e-09,0.0,0.0,0.0003678270880982,0.0,0,4519.815834712258,0.0,0.0,0.0,0.0,0,0,0
-84.5,-122.5,3.1575181933111065e-10,0.0,3.157518193311106e-09,0.0,0.0,0.000368820893891,0.0,0,4511.031349929526,0.0,0.0,0.0,0.0,0,0,0
-84.5,-121.5,4.400281281267372e-10,0.0,4.400281281267372e-09,0.0,0.0,0.0003696098021939,0.0,0,4502.35996138655,0.0,0.0,0.0,0.0,0,0,0
-84.5,-120.5,6.109049006385871e-10,0.0,6.109049006385876e-09,0.0,0.0,0.0003701923195164,0.0,0,4493.804842047579,0.0,0.0,0.0,0.0,0,0,0
-84.5,-119.5,8.44824336789936e-10,0.0,8.448243367899366e-09,0.0,0.0,0.0003705673410675,0.0,0,4485.369139163952,0.0,0.0,0.0,0.0,0,0,0
-84.5,-118.5,1.1636215269425431e-09,0.0,1.1636215269425432e-08,0.0,0.0,0.0003707341546805,0.0,0,4477.055972598186,0.0,0.0,0.0,0.0,0,0,0
-84.5,-117.5,1.5961438358388e-09,0.0,1.5961438358388e-08,0.0,0.0,0.0003706924433476,0.0,0,4468.868433130718,0.0,0.0,0.0,0.0,0,0,0
-84.5,-116.5,2.1803053691367557e-09,0.0,2.1803053691367555e-08,0.0,0.0,0.0003704422863491,0.0,0,4460.809580750765,0.0,0.0,0.0,0.0,0,0,0
-84.5,-115.5,2.9656769455220246e-09,0.0,2.9656769455220253e-08,0.0,0.0,0.0003699841589707,0.0,0,4452.8824429328015,0.0,0.0,0.0,0.0,0,0,0
-84.5,-114.5,4.0167301809101435e-09,0.0,4.016730180910144e-08,0.0,0.0,0.0003693189308111,0.0,0,4445.090012900259,0.0,0.0,0.0,0.0,0,0,0
-84.5,-113.5,5.4168743127909985e-09,0.0,5.4168743127909977e-08,0.0,0.0,0.0003684478626896,0.0,0,4437.435247878172,0.0,0.0,0.0,0.0,0,0,0
-84.5,-112.5,7.273445996195519e-09,0.0,7.273445996195519e-08,0.0,0.0,0.0003673726021694,0.0,0,4429.921067336541,0.0,0.0,0.0,0.0,0,0,0
-84.5,-111.5,9.723835056414949e-09,0.0,9.723835056414949e-08,0.0,0.0,0.0003660951777235,0.0,0,4422.550351226293,0.0,0.0,0.0,0.0,0,0,0
-84.5,-110.5,1.294295244112198e-08,0.0,1.2942952441121981e-07,0.0,0.0,0.0003646179915743,0.0,0,4415.3259382098,0.0,0.0,0.0,0.0,0,0,0
-84.5,-109.5,1.7152269474969983e-08,0.0,1.715226947496998e-07,0.0,0.0,0.0003629438112472,0.0,0,4408.250623887999,0.0,0.0,0.0,0.0,0,0,0
-84.5,-108.5,2.2630678789199072e-08,0.0,2.2630678789199082e-07,0.0,0.0,0.0003610757598838,0.0,0,4401.327159026228,0.0,0.0,0.0,0.0,0,0,0
-84.5,-107.5,2.97274454568512e-08,0.0,2.97274454568512e-07,0.0,0.0,0.0003590173053692,0.0,0,4394.558247780992,0.0,0.0,0.0,0.0,0,0,0
-84.5,-106.5,3.887753003894568e-08,0.0,3.887753003894568e-07,0.0,0.0,0.000356772248331,0.0,0,4387.946545929922,0.0,0.0,0.0,0.0,0,0,0
-84.5,-105.5,5.061957120305313e-08,0.0,5.061957120305313e-07,0.0,0.0,0.0003543447090757,0.0,0,4381.494659107257,0.0,0.0,0.0,0.0,0,0,0
